DIVIPOLA 2011  (VIVIENDAS, HOGARES Y PERSONAS 2005);Clase;Departamento;Municipio;Nombre centro;Tipo;Manzanas;Viviendas;Hogares;Personas;Grados;Minutos;Segundos;Latitud;grados;minutos;segundos;Longitud;geo_point
054112003;2;ANTIOQUIA;LIBORINA;LA MERCED (PLAYON);C;11.0;67.0;47.0;169.0;-75.0;44.0;57.13807812;;6.0;45.0;55.8787374;6.7655218715;-75.7492050217,6.7655218715
270252018;2;CHOCO;ALTO BAUDO;IRUTO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
054112010;2;ANTIOQUIA;LIBORINA;EL GUAMAL;IPM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
503252001;2;META;MAPIRIPAN;PUERTO ALVIRA;IPM;45.0;56.0;109.0;273.0;-71.0;44.0;59.97611688;;2.0;53.0;47.081302944;2.89641147304;-71.7499933658,2.89641147304
054113000;3;ANTIOQUIA;LIBORINA;LIBORINA;R;0.0;1626.0;1516.0;6330.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270252025;2;CHOCO;ALTO BAUDO;NUNCIDO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
054252001;2;ANTIOQUIA;MACEO;LA SUSANA;C;9.0;160.0;137.0;490.0;-74.0;39.0;32.93972388;;6.0;35.0;58.41441294;6.59955955915;-74.6591499233,6.59955955915
503252007;2;META;MAPIRIPAN;PUERTO SIARE;IPM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270252028;2;CHOCO;ALTO BAUDO;SANTA MARIA DE CONDOTO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
503253000;3;META;MAPIRIPAN;MAPIRIPAN;R;0.0;112.0;112.0;593.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
054401000;1;ANTIOQUIA;MARINILLA;MARINILLA;CM;275.0;8726.0;8007.0;32800.0;-75.0;20.0;17.91437388;;6.0;10.0;19.57836792;6.1721051022;-75.3383095483,6.1721051022
503301000;1;META;MESETAS;MESETAS;CM;73.0;874.0;828.0;3061.0;-74.0;2.0;37.7180178;;3.0;22.0;53.343150132;3.38148420837;-74.0438105605,3.38148420837
503302002;2;META;MESETAS;JARDIN DE LAS PEÑAS;IPD;21.0;2.0;2.0;5.0;-74.0;9.0;48.94765884;;3.0;16.0;44.370723216;3.27899186756;-74.1635965719,3.27899186756
503302003;2;META;MESETAS;BRISAS DEL DUDA;IPM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
503302004;2;META;MESETAS;MIRADOR;IPD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
054673000;3;ANTIOQUIA;MONTEBELLO;MONTEBELLO;R;0.0;1687.0;1308.0;5332.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
054752001;2;ANTIOQUIA;MURINDO;OPOGADO;C;1.0;59.0;47.0;184.0;-76.0;52.0;38.84795904;;6.0;48.0;52.219091772;6.81450530327;-76.8774577664,6.81450530327
